OMENID;X;Y;Z;Efield;Approved
2;29;39;12.5;1.53;Yes
3;21.5;-17;10.5;2.08;Yes
4;19;-34;11;1.72;Yes
5;15;-59;8.5;1.69;Yes
6;-5;-22;9.5;2.35;Yes
7;-62;-10;10.5;2.27;Yes
8;-42;-1;11.5;2.15;Yes
9;-22;6;12.5;2.84;Yes
10;-102;-13;5.5;1.65;Yes
11;-102;-27;6;1.67;Yes
12;-3;87;13.5;2.2;Yes
13;45;108;5;1.47;Yes
14;25;10;11.5;2.24;Yes
15;-11;25.5;16.5;0.9;Yes
16;-20;-21;9.5;2.01;Yes
17;-36;-19;6.5;1.55;Yes
18;-21;75;17.5;2.37;Yes
19;21.4;-33.9;19.3;4.9;Yes
20;25.6;-10;19.3;4.18;Yes
21;36.5;29;19.3;2.21;Yes
22;44.4;51.4;23.3;2.98;Yes
23;65.1;50.5;23.3;2.04;Yes
24;74;30.1;23.3;1.48;Yes
25;82.6;-12.8;23.3;1.59;Yes
26;89.8;-33.9;23.3;1.71;Yes
27;73.5;-50.9;23.3;2.26;Yes
